9.2482,10.134
9.3102,3.9624
9.4536,5.4141
9.7687,20.5435
10.136,9.6799
10.236,30.7754
10.274,2.7526
10.957,9.0467
11.7,10.0043
11.708,30.3854
12.828,5.501
12.836,15.117
13.176,30.692
13.394,19.0551
13.400,17.000
14.164,9.505
14.908,30.054
15.000,11.000
15.867,42.344
16.434,50.454
16.534,49.343
16.634,50.775
16.876,51.376
16.934,30.343
16.998,50.545
17.134,20.343
17.434,51.353
17.897,49.984
18.959,32.054
21.279,22.529
22.300,31.146
22.453,20.147
22.503,14.037
23.453,2.548
23.555,2.324
24.000,1.344
24.206,11.012
24.503,22.247
24.953,12.048
25.503,3.247
25.353,13.548
26.503,2.247
27.453,12.548
27.903,1.247
28.453,11.548
29.503,10.247
30.234,0.122
30.657,9.343
31.342,1.345
31.787,19.001
32.445,7.545
32.764,28.454
33.456,7.345
33.888,37.000
33.989,20.232
