9.2482,5.134
9.3102,3.9624
9.4536,5.4141
9.7687,7.5435
10.136,6.6799
10.236,7.7754
10.274,6.7526
10.957,7.0467
11.7,8.0043
11.708,5.3854
12.828,5.501
12.836,8.117
13.176,9.692
13.394,9.0551
13.400,7.000
14.164,9.505
14.908,9.054
15.000,10.000
15.867,10.344
16.434,11.343
18.959,12.054
21.279,12.529
22.300,11.146
22.453,12.147
22.503,14.037
23.453,12.548
23.555,12.324
24.000,11.344
24.206,11.012
24.503,12.247
24.953,12.048
25.503,13.247
25.353,13.548
26.503,12.247
27.453,12.548
27.903,11.247
28.453,11.548
29.503,10.247
30.234,10.122
30.657,9.343
31.342,9.345
31.787,9.001
32.445,7.545
32.764,8.454
33.456,7.345
33.888,7.000
33.989,7.232
